family	n_sequences_total	n_sequences_sampled
RF00558	4853	10
RF00559	2354	10
RF00560	5140	10
RF00561	2181	10
RF00562	586	10
RF00563	986	10
RF00564	710	10
RF00565	564	10
RF00566	736	10
RF00567	873	10
RF00568	1581	10
RF00569	981	10
RF00570	88	10
RF00571	717	10
RF00572	855	10
RF00573	549	10
RF00574	372	10
RF00575	697	10
RF00576	320	10
RF00577	574	10
RF00578	457	10
RF00579	389	10
RF00580	582	10
RF00581	1623	10
RF00582	702	10
RF00584	98	10
RF00586	486	10
RF00588	469	10
RF00591	284	10
RF00592	276	10
RF00593	630	10
RF00594	167	10
RF00598	721	10
RF00599	687	10
RF00600	768	10
RF00601	638	10
RF00602	234	10
RF00603	121	10
RF00604	853	10
RF00606	314	10
RF00607	242	10
RF00608	429	10
RF00609	553	10
RF00610	84	10
RF00611	642	10
RF00612	478	10
RF00613	644	10
RF00614	1555	10
RF00615	31	10
RF00616	148	10
RF00617	57	10
RF00618	1454	10
RF00619	7529	10
RF00620	51	10
RF00621	70	10
RF00622	5240	10
RF00623	644	10
RF00624	667	10
RF00625	510	10
RF00626	2	2
RF00627	550	10
RF00628	804	10
RF00629	761	10
RF00630	854	10
RF00632	3	3
RF00634	5963	10
RF00635	126	10
RF00636	492	10
RF00637	160	10
RF00638	2127	10
RF00639	704	10
RF00640	100	10
RF00641	850	10
RF00642	505	10
RF00643	1853	10
RF00644	671	10
RF00645	3454	10
RF00646	545	10
RF00647	152	10
RF00648	613	10
RF00649	352	10
RF00650	252	10
RF00651	704	10
RF00652	977	10
RF00653	296	10
RF00654	622	10
RF00655	93	10
RF00656	544	10
RF00657	555	10
RF00658	160	10
RF00659	159	10
RF00660	150	10
RF00661	363	10
RF00662	375	10
RF00663	115	10
RF00664	315	10
RF00665	393	10
RF00666	66	10
RF00667	633	10
RF00668	798	10
RF00669	269	10
RF00670	89	10
RF00671	345	10
RF00672	557	10
RF00673	263	10
RF00674	174	10
RF00675	233	10
RF00676	10	10
RF00677	449	10
RF00678	89	10
RF00679	354	10
RF00680	54	10
RF00681	12	10
RF00682	264	10
RF00683	130	10
RF00684	194	10
RF00685	169	10
RF00686	399	10
RF00687	13	10
RF00688	480	10
RF00689	491	10
RF00690	446	10
RF00691	684	10
RF00692	339	10
RF00693	348	10
RF00694	218	10
RF00695	494	10
RF00696	340	10
RF00697	43	10
RF00698	152	10
RF00699	39	10
RF00700	220	10
RF00701	301	10
RF00702	195	10
RF00703	193	10
RF00704	316	10
RF00705	281	10
RF00706	334	10
RF00707	34	10
RF00708	171	10
RF00709	77	10
RF00710	58	10
RF00712	439	10
RF00713	49	10
RF00714	254	10
RF00715	99	10
RF00716	45	10
RF00717	101	10
RF00718	27	10
RF00719	61	10
RF00720	108	10
RF00721	35	10
RF00722	338	10
RF00723	76	10
RF00724	102	10
RF00725	61	10
RF00726	331	10
RF00727	142	10
RF00728	54	10
RF00729	103	10
RF00730	116	10
RF00731	226	10
RF00732	95	10
RF00733	61	10
RF00734	7	7
RF00735	233	10
RF00736	447	10
RF00737	69	10
RF00739	20	10
RF00740	38	10
RF00741	11	10
RF00742	215	10
RF00743	48	10
RF00744	42	10
RF00745	210	10
RF00746	248	10
RF00747	78	10
RF00748	34	10
RF00749	214	10
RF00750	375	10
RF00751	80	10
RF00752	115	10
RF00753	68	10
RF00754	350	10
RF00755	38	10
RF00756	106	10
RF00757	104	10
RF00758	46	10
RF00760	62	10
RF00761	47	10
RF00762	54	10
RF00763	73	10
RF00764	202	10
RF00765	41	10
RF00766	91	10
RF00767	104	10
RF00768	135	10
RF00769	18	10
RF00770	33	10
RF00771	44	10
RF00772	57	10
RF00773	22	10
RF00774	8	8
RF00775	37	10
RF00776	4	4
RF00777	80	10
RF00778	148	10
RF00779	72	10
RF00780	54	10
RF00781	33	10
RF00782	2984	10
RF00783	72	10
RF00784	97	10
RF00785	11	10
RF00786	9	9
RF00787	17	10
RF00788	17	10
RF00789	35	10
RF00790	7	7
RF00791	7	7
RF00792	130	10
RF00793	24	10
RF00794	12	10
RF00795	8	8
RF00796	8	8
RF00797	6	6
RF00798	10	10
RF00799	7	7
RF00801	11	10
RF00802	8	8
RF00803	183	10
RF00804	12	10
RF00805	3	3
RF00806	71	10
RF00807	17	10
RF00808	43	10
RF00809	8	8
RF00810	15	10
RF00811	26	10
RF00812	42	10
RF00813	116	10
RF00814	30	10
RF00815	11	10
RF00816	6	6
RF00817	7	7
RF00818	16	10
RF00819	7	7
RF00820	5	5
RF00821	11	10
RF00822	46	10
RF00823	4	4
RF00824	48	10
RF00825	294	10
RF00826	9	9
RF00827	14	10
RF00828	11	10
RF00829	70	10
RF00830	23	10
RF00831	8	8
RF00832	291	10
RF00833	8	8
RF00834	12	10
RF00835	8	8
RF00836	22	10
RF00837	13	10
RF00838	330	10
RF00839	60	10
RF00840	82	10
RF00841	45	10
RF00842	169	10
RF00843	28	10
RF00844	154	10
RF00845	38	10
RF00846	53	10
RF00847	8	8
RF00848	32	10
RF00849	11	10
RF00850	7	7
RF00851	5	5
RF00852	11	10
RF00853	12	10
RF00854	20	10
RF00855	11	10
RF00856	11	10
RF00857	6	6
RF00858	77	10
RF00859	39	10
RF00861	41	10
RF00862	40	10
RF00863	3	3
RF00864	2	2
RF00865	2327	10
RF00866	5	5
RF00867	6	6
RF00868	7	7
RF00869	3	3
RF00870	9	9
RF00872	38	10
RF00873	157	10
RF00874	4	4
RF00875	23	10
RF00876	31	10
RF00877	48	10
RF00878	85	10
RF00879	34	10
RF00883	28	10
RF00884	9	9
RF00885	824	10
RF00886	667	10
RF00887	84	10
RF00888	13	10
RF00890	17	10
RF00891	24	10
RF00892	597	10
RF00893	156	10
RF00894	9	9
RF00895	12	10
RF00896	4	4
RF00897	35	10
RF00898	15	10
RF00899	7	7
RF00900	26	10
RF00901	29	10
RF00902	6	6
RF00903	5	5
RF00904	10	10
RF00905	13	10
RF00906	5548	10
RF00907	5	5
RF00908	84	10
RF00909	17	10
RF00910	46	10
RF00911	23	10
RF00912	129	10
RF00914	14	10
RF00915	23	10
RF00917	37	10
RF00918	26	10
RF00919	17	10
RF00920	19	10
RF00921	65	10
RF00922	8	8
RF00925	8	8
RF00926	19	10
RF00927	54	10
RF00928	112	10
RF00929	4523	10
RF00931	18	10
RF00932	6	6
RF00933	106	10
RF00934	3	3
RF00935	51	10
RF00936	32	10
RF00937	61	10
RF00939	46	10
RF00940	4	4
RF00941	5	5
RF00942	24	10
RF00943	36	10
RF00945	3	3
RF00946	51	10
RF00947	87	10
RF00948	53	10
RF00949	3	3
RF00950	131	10
RF00951	9520	10
RF00952	89	10
RF00953	2	2
RF00954	36	10
RF00956	47	10
RF00957	54	10
RF00958	11	10
RF00959	7	7
RF00960	12	10
RF00961	64	10
RF00962	26	10
RF00963	51	10
RF00964	20	10
RF00965	40	10
RF00966	68	10
RF00967	3	3
RF00968	15	10
RF00969	22	10
RF00970	17	10
RF00971	10	10
RF00972	18	10
RF00973	12	10
RF00974	38	10
RF00975	179	10
RF00976	27	10
RF00977	9	9
RF00978	15	10
