family	n_sequences_total	n_sequences_sampled
RF03256	15	10
RF03257	4	4
RF03258	8	8
RF03259	2	2
RF03260	10	10
RF03262	4	4
RF03263	2	2
RF03264	2	2
RF03265	191	10
RF03266	6	6
RF03267	3	3
RF03268	9	9
RF03269	19	10
RF03271	27	10
RF03272	68	10
RF03274	14	10
RF03275	7	7
RF03276	2	2
RF03277	14	10
RF03278	100	10
RF03279	70	10
RF03280	34	10
RF03281	4	4
RF03283	13	10
RF03284	12	10
RF03285	8	8
RF03286	16	10
RF03287	15	10
RF03288	62	10
RF03289	9	9
RF03290	30	10
RF03291	12	10
RF03292	49	10
RF03293	45	10
RF03294	2	2
RF03295	5	5
RF03296	29	10
RF03297	19	10
RF03298	7	7
RF03299	115	10
RF03300	3	3
RF03301	74	10
RF03302	13	10
RF03303	13	10
RF03304	150	10
RF03305	18	10
RF03306	26	10
RF03307	9	9
RF03308	25	10
RF03309	9	9
RF03310	14	10
RF03311	28	10
RF03312	3	3
RF03313	78	10
RF03314	9	9
RF03315	78	10
RF03316	21	10
RF03317	3	3
RF03318	2	2
RF03319	51	10
RF03321	10	10
RF03322	50	10
RF03323	78	10
RF03324	10	10
RF03325	68	10
RF03326	4	4
RF03327	24	10
RF03328	50	10
RF03329	29	10
RF03330	30	10
RF03331	12	10
RF03332	4	4
RF03333	23	10
RF03334	19	10
RF03335	43	10
RF03336	13	10
RF03337	6	6
RF03338	12	10
RF03339	21	10
RF03340	12	10
RF03341	5	5
RF03342	128	10
RF03343	3	3
RF03344	7	7
RF03345	20	10
RF03346	4	4
RF03347	46	10
RF03348	3	3
RF03349	42	10
RF03350	6	6
RF03351	16	10
RF03352	3	3
RF03353	139	10
RF03354	85	10
RF03355	9	9
RF03356	43	10
RF03357	22	10
RF03358	3	3
RF03359	74	10
RF03360	131	10
RF03361	12	10
RF03362	23	10
RF03363	4	4
RF03364	22	10
RF03366	144	10
RF03367	3	3
RF03368	5	5
RF03369	9	9
RF03370	10	10
RF03371	84	10
RF03372	11	10
RF03373	16	10
RF03374	14	10
RF03375	33	10
RF03376	3	3
RF03377	3	3
RF03378	117	10
RF03379	49	10
RF03380	7	7
RF03381	90	10
RF03382	2	2
RF03383	8	8
RF03384	20	10
RF03385	4	4
RF03386	23	10
RF03387	634	10
RF03388	4	4
RF03389	12	10
RF03390	40	10
RF03391	7	7
RF03392	11	10
RF03393	3	3
RF03394	90	10
RF03395	40	10
RF03396	11	10
RF03397	11	10
RF03398	5	5
RF03399	6	6
RF03400	118	10
RF03401	2	2
RF03402	22	10
RF03403	50	10
RF03404	72	10
RF03405	33	10
RF03406	30	10
RF03407	67	10
RF03408	36	10
RF03409	4	4
RF03410	6	6
RF03411	17	10
RF03412	3	3
RF03413	11	10
RF03414	63	10
RF03416	4	4
RF03417	3	3
RF03418	16	10
RF03419	74	10
RF03420	17	10
RF03421	7	7
RF03422	5	5
RF03423	10	10
RF03424	18	10
RF03425	3	3
RF03426	130	10
RF03427	3	3
RF03428	7	7
RF03429	1	1
RF03430	29	10
RF03431	25	10
RF03432	3	3
RF03433	43	10
RF03434	9	9
RF03435	97	10
RF03436	48	10
RF03437	13	10
RF03438	2	2
RF03439	264	10
RF03440	10	10
RF03441	3	3
RF03442	6	6
RF03443	127	10
RF03444	11	10
RF03445	134	10
RF03447	14	10
RF03448	23	10
RF03449	12	10
RF03450	36	10
RF03451	9	9
RF03452	13	10
RF03453	5	5
RF03454	24	10
RF03455	3	3
RF03456	55	10
RF03457	191	10
RF03458	21	10
RF03459	23	10
RF03460	75	10
RF03461	10	10
RF03462	12	10
RF03463	5	5
RF03464	16	10
RF03465	211	10
RF03466	96	10
RF03467	16	10
RF03468	48	10
RF03469	42	10
RF03470	121	10
RF03471	24	10
RF03472	14	10
RF03473	208	10
RF03474	18	10
RF03475	21	10
RF03476	11	10
RF03477	26	10
RF03478	10	10
RF03479	28	10
RF03480	63	10
RF03481	436	10
RF03482	10	10
RF03483	138	10
RF03484	1	1
RF03485	5	5
RF03486	11	10
RF03487	14	10
RF03488	21	10
RF03489	22	10
RF03490	220	10
RF03491	12	10
RF03492	5	5
RF03493	25	10
RF03494	65	10
RF03495	7	7
RF03496	12	10
RF03497	6	6
RF03498	51	10
RF03499	6	6
RF03500	11	10
RF03501	23	10
RF03502	9	9
RF03503	8	8
RF03504	5	5
RF03505	12	10
RF03506	45	10
RF03507	11	10
RF03508	60	10
RF03509	29	10
RF03510	73	10
RF03511	14	10
RF03512	14	10
RF03514	4	4
RF03516	25	10
RF03517	49	10
RF03518	17	10
RF03519	7	7
RF03520	5	5
RF03521	12	10
RF03522	7	7
RF03523	34	10
RF03524	10	10
RF03525	128	10
RF03526	33	10
RF03527	6	6
RF03528	42	10
RF03530	50	10
RF03531	2914	10
RF03532	109	10
RF03533	17	10
RF03534	3	3
RF03535	10	10
RF03540	1	1
RF03545	13	10
RF03548	8	8
RF03549	2	2
RF03550	5	5
RF03552	1	1
RF03553	5	5
RF03554	3	3
RF03555	5	5
RF03556	26	10
RF03557	12	10
RF03558	48	10
RF03559	2	2
RF03560	127	10
RF03561	111	10
RF03562	3	3
RF03563	3	3
RF03564	11	10
RF03565	25	10
RF03566	11	10
RF03567	641	10
RF03568	21	10
RF03569	19	10
RF03570	11	10
RF03571	9	9
RF03572	21	10
RF03573	91	10
RF03574	5	5
RF03575	4	4
RF03576	15	10
RF03577	5657	10
RF03578	215	10
RF03579	7	7
RF03580	10	10
RF03581	3	3
RF03582	2	2
RF03583	36	10
RF03584	22	10
RF03585	55	10
RF03586	2	2
RF03587	7	7
RF03588	123	10
RF03589	5	5
RF03590	26	10
RF03591	5	5
RF03592	8	8
RF03593	3	3
RF03594	35	10
RF03595	3	3
RF03596	187	10
RF03597	9	9
RF03598	45	10
RF03599	34	10
RF03600	79	10
RF03601	52	10
RF03602	3	3
RF03603	7	7
RF03604	11	10
RF03605	3	3
RF03606	1	1
RF03607	143	10
RF03608	146	10
RF03609	5	5
RF03610	2	2
RF03611	1	1
RF03612	9	9
RF03613	123	10
RF03614	7	7
RF03615	6	6
RF03616	123	10
RF03617	16	10
RF03618	6	6
RF03619	8	8
RF03620	160	10
RF03621	3	3
RF03622	74	10
RF03623	22	10
RF03625	4235	10
RF03626	2	2
RF03627	4	4
RF03628	49	10
RF03629	124	10
RF03630	22	10
RF03631	23	10
RF03632	312	10
RF03633	177	10
RF03634	213	10
RF03635	2	2
RF03636	10	10
RF03637	59	10
RF03638	42	10
RF03639	10	10
RF03640	33	10
RF03641	6	6
RF03642	37	10
RF03643	5	5
RF03644	3	3
RF03645	10	10
RF03646	5	5
RF03647	3	3
RF03648	11	10
RF03649	33	10
RF03650	49	10
RF03651	1	1
RF03652	63	10
RF03653	86	10
RF03654	53	10
RF03655	2	2
RF03656	3	3
RF03657	42	10
RF03658	107	10
RF03659	10	10
RF03660	2	2
RF03661	8	8
RF03662	3615	10
RF03663	2	2
RF03664	333	10
RF03665	101	10
RF03666	6	6
RF03667	4	4
RF03668	280	10
RF03669	29	10
RF03670	3	3
RF03671	5	5
RF03672	24	10
RF03673	56	10
RF03674	674	10
RF03675	4	4
RF03676	141	10
RF03677	117	10
RF03678	9	9
RF03679	64	10
RF03680	7	7
RF03681	9	9
RF03682	11	10
RF03683	1	1
RF03684	40	10
RF03685	29	10
RF03686	52	10
RF03687	6	6
RF03688	3	3
RF03689	11	10
RF03690	999	10
RF03691	96	10
RF03692	50	10
RF03693	21	10
RF03694	42	10
RF03695	583	10
RF03696	3	3
RF03697	74	10
RF03698	45	10
RF03699	35	10
RF03700	153	10
RF03701	6	6
RF03702	17	10
RF03703	258	10
RF03704	53	10
RF03705	41	10
RF03706	7	7
RF03707	7	7
RF03709	30	10
RF03710	249	10
RF03711	3	3
RF03712	70	10
RF03713	14	10
RF03714	28	10
RF03715	3	3
RF03716	53	10
RF03717	121	10
RF03718	35	10
RF03719	67	10
RF03720	3	3
RF03721	14	10
RF03722	9	9
RF03723	25	10
RF03724	4	4
RF03725	2	2
RF03726	5	5
RF03727	7	7
RF03728	7	7
RF03729	30	10
RF03730	4	4
RF03731	11	10
RF03732	7	7
RF03733	2	2
RF03734	126	10
RF03735	2	2
RF03736	65	10
RF03737	2	2
RF03738	7	7
RF03739	33	10
RF03740	8	8
RF03741	42	10
RF03742	6	6
RF03743	58	10
RF03744	1	1
RF03745	2	2
RF03746	5	5
RF03747	68	10
RF03748	3	3
RF03749	919	10
RF03750	2	2
RF03751	23	10
RF03752	82	10
RF03753	6	6
RF03754	77	10
RF03755	2	2
RF03756	22	10
RF03757	85	10
RF03758	58	10
RF03759	90	10
RF03760	85	10
RF03761	1	1
RF03762	7	7
RF03763	5	5
RF03764	9	9
RF03765	10	10
RF03766	42	10
RF03767	10	10
RF03768	78	10
RF03769	161	10
RF03770	4	4
RF03771	117	10
RF03772	2	2
RF03773	3	3
RF03774	6	6
RF03775	8	8
RF03776	17	10
RF03777	151	10
RF03778	71	10
RF03779	72	10
RF03780	197	10
RF03781	87	10
RF03782	82	10
RF03783	9	9
RF03784	7	7
RF03785	4	4
RF03786	4	4
RF03787	2	2
RF03788	84	10
RF03789	374	10
RF03790	245	10
RF03791	3	3
RF03792	136	10
RF03793	3	3
RF03794	237	10
RF03795	9	9
RF03796	59	10
RF03797	1	1
RF03798	8	8
RF03799	155	10
RF03800	123	10
RF03801	3	3
RF03802	26	10
RF03803	794	10
RF03804	6	6
RF03805	1	1
RF03806	1	1
RF03807	3	3
RF03808	17	10
RF03809	11	10
RF03810	7	7
RF03811	2	2
RF03812	5	5
RF03813	181	10
RF03814	12	10
RF03815	2	2
RF03816	52	10
RF03817	4	4
RF03818	91	10
RF03819	19	10
RF03820	16	10
RF03821	1	1
RF03822	12	10
RF03823	6	6
RF03824	86	10
RF03825	5	5
RF03826	8	8
RF03827	7	7
RF03828	7	7
RF03829	18	10
RF03830	1	1
RF03831	270	10
RF03832	5	5
RF03833	1607	10
RF03834	75	10
RF03835	13	10
RF03836	7	7
RF03837	21	10
RF03838	14	10
RF03839	93	10
RF03840	52	10
RF03841	30	10
RF03842	172	10
RF03843	85	10
RF03844	514	10
RF03845	18	10
RF03846	58	10
RF03847	8	8
RF03848	2	2
RF03849	47	10
RF03850	2	2
RF03851	21	10
RF03852	20	10
RF03853	2	2
RF03854	3	3
RF03855	13	10
RF03856	5	5
RF03857	21	10
RF03858	8	8
RF03859	14	10
RF03860	869	10
RF03861	31	10
RF03862	18	10
RF03863	41	10
RF03864	4	4
RF03865	2	2
RF03866	3	3
RF03867	2	2
RF03868	2	2
RF03869	150	10
RF03870	14	10
RF03871	74	10
RF03872	583	10
RF03873	15	10
RF03874	9078	10
RF03875	242	10
RF03876	17	10
RF03877	44	10
RF03878	1	1
RF03879	59	10
RF03880	83	10
RF03881	5	5
RF03882	7	7
RF03883	18569	10
RF03884	10	10
RF03885	2	2
RF03886	5	5
RF03887	3	3
RF03888	61	10
RF03889	167	10
RF03890	1	1
RF03891	47	10
RF03892	2	2
RF03893	2	2
RF03894	31	10
RF03895	14	10
RF03896	629	10
RF03897	3	3
RF03898	2	2
RF03899	2	2
RF03900	905	10
RF03901	2	2
RF03902	3	3
RF03903	3	3
RF03904	144	10
RF03905	3	3
RF03906	46	10
RF03907	8	8
RF03908	91	10
RF03909	2	2
RF03910	2	2
RF03911	15	10
RF03912	120	10
RF03913	6	6
RF03914	4	4
RF03915	174	10
RF03916	12	10
RF03917	17	10
RF03918	2	2
RF03919	1	1
RF03920	6	6
RF03921	14	10
RF03922	17	10
RF03923	4	4
RF03924	11	10
RF03925	6	6
RF03926	1428	10
RF03927	5	5
RF03929	4	4
RF03930	10	10
RF03931	2	2
RF03932	46	10
RF03933	11	10
RF03934	2	2
RF03935	76	10
RF03936	12	10
RF03937	42	10
RF03938	38	10
RF03939	9	9
RF03940	2833	10
RF03941	181	10
RF03942	4	4
RF03943	2	2
RF03944	11	10
RF03945	3	3
RF03946	7	7
RF03947	38	10
RF03948	1	1
RF03949	17	10
RF03950	3	3
RF03951	29	10
RF03952	353	10
RF03953	6	6
RF03954	5	5
RF03955	17	10
RF03956	151	10
RF03957	67	10
RF03958	12	10
RF03959	3	3
RF03960	23	10
RF03961	2	2
RF03962	15	10
RF03963	3	3
RF03964	94	10
RF03965	4	4
RF03966	8	8
RF03967	39	10
RF03968	2	2
RF03969	240	10
RF03970	25	10
RF03971	3	3
RF03972	45	10
RF03973	36	10
RF03974	6	6
RF03975	387	10
RF03976	8	8
RF03977	3	3
RF03978	7	7
RF03979	10	10
RF03980	26	10
RF03981	11499	10
RF03982	3	3
RF03983	152	10
RF03984	15	10
RF03985	3	3
RF03986	7	7
RF03987	9	9
RF03988	13	10
RF03989	2	2
RF03990	1	1
RF03991	208	10
RF03992	44	10
RF03993	48	10
RF03994	3	3
RF03995	8	8
RF03996	4	4
RF03997	3	3
RF03999	27	10
RF04001	14	10
RF04002	39	10
RF04003	3	3
RF04004	2	2
RF04006	10	10
RF04007	18	10
RF04008	1	1
RF04010	9	9
RF04011	24	10
RF04013	6	6
RF04014	38	10
RF04015	1	1
RF04016	3	3
RF04017	2	2
RF04018	52	10
RF04019	20	10
RF04020	1	1
RF04021	14093	10
RF04022	8	8
RF04023	1	1
RF04024	6	6
RF04025	2	2
RF04026	3	3
RF04027	22	10
RF04028	4	4
RF04029	21	10
RF04030	2	2
RF04031	2	2
RF04032	13267	10
RF04035	2	2
RF04036	31	10
RF04037	6	6
RF04038	20	10
RF04039	6	6
RF04040	3	3
RF04041	1	1
RF04042	2	2
RF04043	8	8
RF04044	16	10
RF04047	183	10
RF04048	6	6
RF04049	9	9
RF04050	9	9
RF04051	864	10
RF04052	23	10
RF04053	94	10
RF04054	68	10
RF04055	3	3
RF04056	7	7
RF04057	18	10
RF04059	16	10
RF04060	5	5
RF04061	18	10
RF04062	8	8
RF04063	560	10
RF04064	161	10
RF04065	368	10
RF04066	17	10
RF04067	362	10
RF04068	31	10
RF04069	137	10
RF04070	32	10
RF04071	23	10
RF04072	99	10
RF04073	44	10
RF04074	59	10
RF04075	4	4
RF04076	41	10
RF04077	61	10
RF04078	341	10
RF04079	20	10
RF04080	43	10
RF04081	9	9
RF04082	12	10
RF04083	39	10
RF04084	10	10
RF04085	88	10
RF04087	2103	10
RF04088	32849	10
RF04089	13	10
RF04090	38	10
RF04091	50	10
RF04092	14	10
RF04093	135	10
RF04094	7	7
RF04095	16	10
RF04096	312	10
RF04097	180	10
RF04098	2	2
RF04099	60	10
RF04100	38	10
RF04101	6	6
RF04102	35	10
RF04103	2	2
RF04104	7	7
RF04105	23	10
RF04106	26	10
RF04107	3	3
RF04108	61	10
RF04109	37	10
RF04110	77	10
RF04111	250	10
RF04112	23	10
RF04113	142	10
RF04114	140	10
RF04115	12	10
RF04116	6	6
RF04117	25	10
RF04118	27	10
RF04119	191	10
RF04120	22	10
RF04121	24	10
RF04122	14	10
RF04123	27	10
RF04124	442	10
RF04125	37	10
RF04126	65	10
RF04127	110	10
RF04128	50	10
RF04129	2	2
RF04130	380	10
RF04131	2	2
RF04132	114	10
RF04133	11	10
RF04134	5032	10
RF04135	7	7
RF04136	52	10
RF04137	2	2
RF04138	51	10
RF04139	37	10
RF04140	30	10
RF04141	66	10
RF04142	87	10
RF04143	4	4
RF04144	14	10
RF04145	66	10
RF04146	14	10
RF04147	19	10
RF04148	20	10
RF04149	4	4
RF04150	571	10
RF04151	41	10
RF04152	68	10
RF04153	3	3
RF04154	115	10
RF04155	240	10
RF04156	186	10
RF04157	35	10
RF04158	68	10
RF04159	99	10
RF04160	4	4
RF04161	111	10
RF04162	9	9
RF04163	2989	10
RF04164	338	10
RF04165	36	10
RF04166	10	10
RF04167	22	10
RF04168	3	3
RF04169	15	10
RF04170	3	3
RF04171	69	10
RF04172	133	10
RF04173	24	10
RF04174	19	10
RF04175	68	10
RF04176	52	10
RF04177	24	10
RF04178	11	10
RF04179	218	10
RF04180	90	10
RF04181	28	10
RF04182	81	10
RF04183	6283	10
RF04184	541	10
RF04185	14	10
RF04186	1	1
RF04187	7	7
RF04188	60	10
RF04189	82	10
RF04192	103	10
RF04193	6	6
RF04194	34	10
RF04195	2217	10
RF04196	2	2
RF04197	77	10
RF04198	171	10
RF04199	19	10
RF04200	156	10
RF04201	785	10
RF04202	40	10
RF04203	18	10
RF04204	1075	10
RF04205	157	10
RF04206	29	10
RF04207	7	7
RF04208	20	10
RF04209	47	10
RF04210	577	10
RF04211	82	10
RF04212	169	10
RF04213	6	6
RF04214	90	10
RF04215	149	10
RF04216	242	10
RF04217	50	10
RF04218	1	1
RF04219	1	1
RF04220	1	1
RF04221	1	1
RF04222	82	10
RF04223	745	10
RF04224	18313	10
RF04225	45879	10
RF04226	144	10
RF04227	441	10
RF04228	36	10
RF04229	177	10
RF04230	229	10
RF04231	20	10
RF04232	1	1
RF04233	225	10
RF04234	99	10
RF04235	29	10
RF04236	134	10
RF04237	4	4
RF04238	2	2
RF04239	331	10
RF04240	175	10
RF04241	77	10
RF04242	92	10
RF04243	10	10
RF04244	86	10
RF04245	9	9
RF04246	8	8
RF04247	560	10
RF04248	5884	10
RF04249	58	10
RF04250	45	10
RF04251	219	10
RF04252	95	10
RF04254	56	10
RF04255	95	10
RF04257	721	10
RF04258	18	10
RF04259	1	1
RF04260	7	7
RF04261	167	10
RF04262	32	10
RF04263	714	10
RF04264	2	2
RF04265	26	10
RF04266	128	10
RF04267	44	10
RF04268	17	10
RF04269	23	10
RF04270	38	10
RF04271	110	10
RF04272	159	10
RF04273	12	10
RF04274	14162	10
RF04275	103	10
RF04276	177	10
RF04277	5	5
RF04278	6	6
RF04279	15	10
RF04280	273	10
RF04281	27	10
RF04282	164	10
RF04283	11	10
RF04284	49	10
RF04285	53	10
RF04286	203	10
RF04287	433	10
RF04288	11	10
RF04289	27	10
RF04290	41	10
RF04291	174	10
RF04292	164	10
RF04293	35	10
RF04294	55	10
RF04295	180	10
RF04296	32	10
RF04297	24	10
RF04298	16	10
RF04299	46	10
RF04300	7	7
RF04301	1	1
RF04302	23	10
RF04303	31	10
RF04305	2	2
RF04306	2	2
RF04307	1	1
RF04308	1	1
RF04309	1	1
RF04310	14	10
