family,model,n_truth,n_scored,n_missing,n_invalid,coverage,mean_f1,mean_mcc
RF01103,transpred,2,2,0,0,1.0,0.7738095238095238,0.7923365963973543
RF01105,transpred,1,1,0,0,1.0,0.6153846153846154,0.6618461647704288
RF01108,transpred,1,1,0,0,1.0,0.9090909090909091,0.9114434522594732
RF01113,transpred,3,3,0,0,1.0,0.8571428571428571,0.8642916174532761
RF01116,transpred,550,550,0,0,1.0,0.6607977876705734,0.6897559902006599
RF01146,transpred,2,2,0,0,1.0,0.0,0.0
RF01151,transpred,95,95,0,0,1.0,0.0,0.0
RF01155,transpred,357,357,0,0,1.0,0.0,0.0
RF01161,transpred,300,300,0,0,1.0,0.0,0.0
RF01163,transpred,227,227,0,0,1.0,0.0,0.0
RF01167,transpred,9,9,0,0,1.0,0.852887852887853,0.8705407598805786
RF01174,transpred,109,109,0,0,1.0,0.0,0.0
RF01180,transpred,36,36,0,0,1.0,0.2238900242479812,0.24787288617225667
RF01193,transpred,359,359,0,0,1.0,0.8784649051391157,0.893591761304361
RF01205,transpred,5,5,0,0,1.0,0.3469674185463659,0.4444523136312276
RF01206,transpred,538,538,0,0,1.0,0.34100533469454725,0.3786447229650618
RF01210,transpred,13452,13452,0,0,1.0,0.0,0.0
RF01216,transpred,45,45,0,0,1.0,0.21451217216350255,0.31121619420887797
RF01219,transpred,1696,1696,0,0,1.0,0.9133866924735934,0.9220862609719229
RF01220,transpred,459,459,0,0,1.0,0.3706919184153744,0.4133223693345882
RF01227,transpred,832,832,0,0,1.0,0.7652512413906879,0.781056389405684
RF01228,transpred,421,421,0,0,1.0,0.5868809092382054,0.6316231315394064
RF01232,transpred,19,19,0,0,1.0,0.8379495810805617,0.8481342446009801
RF01237,transpred,31,31,0,0,1.0,0.48479034260532206,0.5274568566370812
RF01240,transpred,34,34,0,0,1.0,0.4835989668385331,0.5386780282198084
RF01245,transpred,9,9,0,0,1.0,0.39662574253667443,0.4040921845359434
RF01246,transpred,6,6,0,0,1.0,0.5470541873413288,0.5605822272151741
RF01247,transpred,151,151,0,0,1.0,0.26909356684533897,0.30046079195042863
RF01248,transpred,87,87,0,0,1.0,0.4125489336154598,0.45400149041235044
RF01252,transpred,79,79,0,0,1.0,0.4462439919324518,0.4915344806829199
RF01254,transpred,42,42,0,0,1.0,0.36498466789194695,0.39879332229908715
RF01260,transpred,27,20,7,0,0.7407407407407407,0.26103502489885566,0.27009757073306107
RF01269,transpred,389,389,0,0,1.0,0.29474287002074845,0.3167983539865758
RF01302,transpred,672,672,0,0,1.0,0.7758679748764039,0.8058658032355771
