family,model,n_truth,n_scored,n_missing,n_invalid,coverage,mean_f1,mean_mcc
RF02911,rnafold,25,25,0,0,1.0,0.10001377265253426,0.10118683126103792
RF02912,rnafold,25,25,0,0,1.0,0.2427726962487569,0.23920946644675925
RF02915,rnafold,25,25,0,0,1.0,0.8903192658725394,0.8888749382639952
RF02916,rnafold,25,25,0,0,1.0,0.3830058877743199,0.4117508957721456
RF02922,rnafold,25,25,0,0,1.0,0.6378490741394554,0.658521517508775
RF02923,rnafold,25,25,0,0,1.0,0.517742948690317,0.5377491244335897
RF02925,rnafold,25,25,0,0,1.0,0.733379285317366,0.7620386628003121
RF02927,rnafold,2,2,0,0,1.0,0.4365079365079365,0.441400018690023
RF02930,rnafold,25,25,0,0,1.0,0.7760415269900749,0.7750690721466705
RF02935,rnafold,25,25,0,0,1.0,0.7246899343524571,0.7380979050197292
RF02951,rnafold,25,25,0,0,1.0,0.6668170246292132,0.6787706702982764
RF02954,rnafold,5,5,0,0,1.0,0.6022648639014081,0.6099040224879826
RF02957,rnafold,25,25,0,0,1.0,0.7283471414353316,0.7331945691705909
RF02962,rnafold,25,25,0,0,1.0,0.7036129160121942,0.7043130429312998
RF02965,rnafold,25,25,0,0,1.0,0.6328954140199925,0.6371344353652627
RF02966,rnafold,25,25,0,0,1.0,0.66275807365467,0.6618402118036447
RF02967,rnafold,25,25,0,0,1.0,0.7324113288146483,0.7306881539152158
RF02971,rnafold,19,19,0,0,1.0,0.9123721511533145,0.9127134882842377
RF02975,rnafold,25,25,0,0,1.0,0.7096823910389127,0.7214379946732704
RF02976,rnafold,1,1,0,0,1.0,0.39473684210526316,0.3920565460695048
RF02977,rnafold,25,25,0,0,1.0,0.9476328502415459,0.9477693188043947
RF02982,rnafold,25,25,0,0,1.0,0.6774005795724756,0.7034528996550944
RF02992,rnafold,25,25,0,0,1.0,0.6493249381864181,0.6700551420203325
RF02999,rnafold,25,25,0,0,1.0,0.7726867322563818,0.7712038359012879
RF03001,rnafold,25,25,0,0,1.0,0.6511739731410212,0.6914298989743066
RF03002,rnafold,10,10,0,0,1.0,0.8562568912568912,0.8627603034442103
RF03003,rnafold,25,25,0,0,1.0,0.29760591407515624,0.3013330394416169
RF03004,rnafold,13,13,0,0,1.0,0.4478863119076101,0.45305557655474343
RF03005,rnafold,25,25,0,0,1.0,0.6293341668940297,0.6395166011965989
RF03006,rnafold,25,25,0,0,1.0,0.7498432234432236,0.7504458873700105
RF03007,rnafold,7,7,0,0,1.0,0.5784732977136838,0.594711967785555
RF03009,rnafold,25,25,0,0,1.0,0.5079004009121956,0.5403979222396454
RF03010,rnafold,8,8,0,0,1.0,0.6214944475814042,0.6698906467417937
RF03015,rnafold,25,25,0,0,1.0,0.8588752929636415,0.8595598213755526
RF03018,rnafold,25,25,0,0,1.0,0.6940216426445247,0.6939580042069481
RF03023,rnafold,25,25,0,0,1.0,0.5849849245959728,0.6065047222724551
RF03024,rnafold,6,6,0,0,1.0,0.7673569023569025,0.7882718029665421
RF03028,rnafold,25,25,0,0,1.0,0.5942670398256212,0.6002969964495688
RF03037,rnafold,25,25,0,0,1.0,0.46019692192417816,0.4877455969361035
RF03040,rnafold,25,25,0,0,1.0,0.6279066648784969,0.6367703052495235
RF03042,rnafold,25,25,0,0,1.0,0.5088547298112516,0.5313027385905484
RF03043,rnafold,8,8,0,0,1.0,0.6384955182871533,0.6430479053574212
RF03044,rnafold,25,25,0,0,1.0,0.4429996139077076,0.4574866320391315
RF03045,rnafold,25,25,0,0,1.0,0.6721829780864629,0.6916065632923801
RF03047,rnafold,12,12,0,0,1.0,0.5055608129137541,0.5058205055090869
RF03056,rnafold,25,25,0,0,1.0,0.5027325545762078,0.5411084743819271
RF03058,rnafold,25,25,0,0,1.0,0.3807847377111004,0.3759252670650046
RF03072,rnafold,25,25,0,0,1.0,0.2516972772670945,0.2520199126341282
RF03074,rnafold,25,25,0,0,1.0,0.670993966106909,0.6722517169610305
RF03077,rnafold,25,25,0,0,1.0,0.34405771090425274,0.3498493856119079
RF03079,rnafold,25,25,0,0,1.0,0.5165232391556663,0.5262262536630087
RF03085,rnafold,25,25,0,0,1.0,0.8530407837776258,0.8564886806594763
RF03087,rnafold,25,25,0,0,1.0,0.42444106452825425,0.4259792449474954
RF03090,rnafold,3,3,0,0,1.0,0.6591025479808058,0.6721449039489443
RF03111,rnafold,19,19,0,0,1.0,0.6340977120362317,0.6684935359563342
RF03114,rnafold,1,1,0,0,1.0,0.9714285714285714,0.9712511406265842
RF03115,rnafold,25,25,0,0,1.0,0.703937414224555,0.7160720170823679
RF03126,rnafold,25,25,0,0,1.0,0.7348202460196694,0.7516750806108924
RF03127,rnafold,25,25,0,0,1.0,0.6488290922340072,0.647756083646345
RF03128,rnafold,25,25,0,0,1.0,0.8512043570464624,0.850765009001692
RF03134,rnafold,25,25,0,0,1.0,0.7176381470546243,0.7155576573002222
RF03138,rnafold,25,25,0,0,1.0,0.8074963008006486,0.8293063765516487
RF03141,rnafold,25,25,0,0,1.0,0.66650128615346,0.6693251914926429
RF03144,rnafold,25,25,0,0,1.0,0.7436279921099311,0.7491553481819736
RF03145,rnafold,3,3,0,0,1.0,0.6042053621900993,0.6145457959813357
RF03148,rnafold,25,25,0,0,1.0,0.573389269924917,0.5814139940659493
RF03152,rnafold,4,4,0,0,1.0,0.378019724636266,0.3793594434341824
RF03154,rnafold,10,10,0,0,1.0,0.5970680695734444,0.5982533185867522
RF03156,rnafold,25,25,0,0,1.0,0.7590849673202615,0.7559588231286121
RF03160,rnafold,25,25,0,0,1.0,0.3501665827959315,0.3475588257101531
RF03164,rnafold,22,22,0,0,1.0,0.6815919123075141,0.6805206666154221
RF03166,rnafold,25,25,0,0,1.0,0.5265834464099521,0.528125882321488
RF03167,rnafold,25,25,0,0,1.0,0.5147779250947007,0.5137429347754613
RF03168,rnafold,25,25,0,0,1.0,0.7649971985819835,0.7661414426953236
RF03169,rnafold,25,25,0,0,1.0,0.3797202519630283,0.37883535324427425
RF03170,rnafold,25,25,0,0,1.0,0.3295979685008005,0.32709818771241844
RF03176,rnafold,25,25,0,0,1.0,0.739062455831412,0.7372411528525445
RF03228,rnafold,11,11,0,0,1.0,0.9146838900849598,0.915662446598517
RF03388,rnafold,4,4,0,0,1.0,0.5913714948344929,0.5953995039574321
RF03521,rnafold,12,12,0,0,1.0,0.6868326913249514,0.6862506638036745
RF03531,rnafold,25,25,0,0,1.0,0.05505309574838317,0.05035888739857224
RF03576,rnafold,15,15,0,0,1.0,0.7887436882499439,0.7889397413090735
RF03740,rnafold,8,8,0,0,1.0,0.9187258687258688,0.9178088344237268
RF03772,rnafold,2,2,0,0,1.0,0.3023255813953488,0.2984968134494345
RF03838,rnafold,14,14,0,0,1.0,0.9371184910914511,0.9368528499592355
RF03963,rnafold,3,3,0,0,1.0,0.44261294261294265,0.44092681946719187
RF04188,rnafold,25,25,0,0,1.0,0.09783351727425627,0.0967994626072639
RF04200,rnafold,25,25,0,0,1.0,0.32351136162900873,0.31869914020681245
RF04218,rnafold,1,1,0,0,1.0,0.9285714285714286,0.9276342214486545
RF04221,rnafold,1,1,0,0,1.0,0.9803921568627451,0.9804242707651799
RF04222,rnafold,25,25,0,0,1.0,0.28740376612634677,0.284470852463239
RF04305,rnafold,2,2,0,0,1.0,0.5066137566137566,0.5051994644512313
RF04308,rnafold,1,1,0,0,1.0,0.32558139534883723,0.3274859599781877
RF04310,rnafold,14,14,0,0,1.0,0.6202982470811412,0.6198842604201756
